SUID,cooc_method,interaction,interactionType,Label,method_number,method_scores,methodname_interactiontype,methodname_pval,methodname_score,name,nulldistribmean,nulldistribmedian,nulldistribsd,oriScore,pval,pval-simes-merge,qval,randdistribMean,randdistribMedian,randdistribNumNonNaNScores,randdistribSD,selected,shared interaction,shared name,weight
8359,dist_bray|dist_kullbackleibler|correl_pearson,,copresence,DW00151->DW00146,3,0.14857012541685044|0.17012478451774957|0.9758672360578574,dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence,dist_bray=1.0335723787946449E-7|dist_kullbackleibler=0.0|correl_pearson=0.0,dist_bray=0.14857012541685044|dist_kullbackleibler=0.17012478451774957|correl_pearson=0.9758672360578574,DW00151->DW00146,0.680230484,0.68168904,0.026078003,0.148570125,0,0,0,0.14477313213111162|0.16855645404746536|0.9723624645026586,0.14550729933520012|0.16496715628095593|0.9748346081551814,1000.0|1000.0|1000.0,0.010631152849723031|0.02975771308763992|0.012187565575962489,FALSE,,DW00151->DW00146,0
8362,dist_kullbackleibler|correl_pearson|dist_bray,,copresence,DW01234->DW01228,3,0.14366363223034925|0.928221634321888|0.11264975339145344,dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence,dist_kullbackleibler=0.0|correl_pearson=2.0398349120931414E-9|dist_bray=2.3378744565039078E-5,dist_kullbackleibler=0.14366363223034925|correl_pearson=0.928221634321888|dist_bray=0.11264975339145344,DW01234->DW01228,4.712643438,4.696235315,0.419887148,0.143663632,0,0,0,0.14456991190738255|0.929891184051698|0.11244011137458762,0.13986610220043605|0.9311310638729526|0.11245974058055308,1000.0|1000.0|1000.0,0.03937996507269338|0.02505171872696389|0.017574604202251893,FALSE,,DW01234->DW01228,0
8370,dist_bray|dist_kullbackleibler|correl_pearson,,copresence,DW01244->DW01104,3,0.08148648924080848|0.08988379792090051|0.9746650462961083,dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence,dist_bray=1.3420553557352832E-9|dist_kullbackleibler=0.0|correl_pearson=0.0,dist_bray=0.08148648924080848|dist_kullbackleibler=0.08988379792090051|correl_pearson=0.9746650462961083,DW01244->DW01104,0.638366083,0.63840785,0.031782928,0.081486489,0,0,0,0.08244435667775944|0.09022079141028254|0.9735117228571613,0.08217294519058371|0.08873198963854577|0.9749998427155964,1000.0|1000.0|1000.0,0.008730061127022199|0.020349813540887354|0.009156688302674064,FALSE,,DW01244->DW01104,0
8387,dist_kullbackleibler|dist_bray|correl_pearson,,copresence,DW01243->DW01244,3,0.13568300611291378|0.08200920197736583|0.9531327813255188,dist_kullbackleibler=copresence|dist_bray=copresence|correl_pearson=copresence,dist_kullbackleibler=0.0|dist_bray=1.0688427702909564E-6|correl_pearson=8.186645805707826E-11,dist_kullbackleibler=0.13568300611291378|dist_bray=0.08200920197736583|correl_pearson=0.9531327813255188,DW01243->DW01244,4.727310063,4.720118325,0.444023479,0.135683006,0,0,0,0.13423863581417314|0.0833585068444165|0.952635901840416,0.13190154933072862|0.08205882606362991|0.9563755931132492,1000.0|1000.0|1000.0,0.04183385425472891|0.014133533900195712|0.022345524247570865,FALSE,,DW01243->DW01244,0
8391,dist_bray|dist_kullbackleibler|correl_pearson,,copresence,DW01103->DW01104,3,0.11335291823919602|0.14802874111589848|0.9314493006343952,dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence,dist_bray=3.4989071807656202E-6|dist_kullbackleibler=0.0|correl_pearson=4.760930406577657E-7,dist_bray=0.11335291823919602|dist_kullbackleibler=0.14802874111589848|correl_pearson=0.9314493006343952,DW01103->DW01104,0.637285793,0.63816955,0.029515867,0.113352918,0,0,0,0.11281997739067766|0.1460956330364601|0.9329014598283887,0.11132510099945114|0.14130044396221997|0.9371042254609696,1000.0|1000.0|1000.0,0.013621207106427634|0.040574419359984765|0.0360884909134681,FALSE,,DW01103->DW01104,0
8392,dist_bray|correl_spearman|dist_kullbackleibler,,copresence,DW01177->DW01178,3,0.1390109764735996|0.967824329963516|0.14025604184454996,dist_bray=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence,dist_bray=3.391142314579376E-5|correl_spearman=0.0|dist_kullbackleibler=0.0,dist_bray=0.1390109764735996|correl_spearman=0.967824329963516|dist_kullbackleibler=0.14025604184454996,DW01177->DW01178,0.645337591,0.64537504,0.030817099,0.139010976,0,0,0,0.138663351575112|0.9658417694669198|0.14015331167634215,0.13858609977971686|0.9663119880144827|0.13918159677248157,1000.0|1000.0|1000.0,0.016175707045502783|0.005236842301013363|0.025867433317345263,FALSE,,DW01177->DW01178,0
8398,dist_bray|dist_kullbackleibler|correl_spearman,,mutualExclusion,DW00462->DW00796,3,0.9842918690273363|14.344643414858332|-0.5700181949130056,dist_bray=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion,dist_bray=0.0406679443630138|dist_kullbackleibler=2.606068966182207E-7|correl_spearman=0.01746854017259769,dist_bray=0.9842918690273363|dist_kullbackleibler=14.344643414858332|correl_spearman=-0.5700181949130056,DW00462->DW00796,0.873846799,0.87956883,0.037311459,0.984291869,2.61E-07,2.61E-07,8.97E-07,0.983222011492412|14.155225603409736|-0.5691739282614637,0.9838800431313094|14.239402310379134|-0.5726292162931221,1000.0|1000.0|1000.0,0.003937762593983849|0.9091967526367598|0.06491381311766979,FALSE,,DW00462->DW00796,8.97E-07
8414,dist_kullbackleibler|dist_bray|correl_spearman,,copresence,DW01129->DW00679,3,0.14358147248110267|0.10746910919287878|0.9760054584739019,dist_kullbackleibler=copresence|dist_bray=copresence|correl_spearman=copresence,dist_kullbackleibler=0.0|dist_bray=3.275706229382003E-4|correl_spearman=0.0,dist_kullbackleibler=0.14358147248110267|dist_bray=0.10746910919287878|correl_spearman=0.9760054584739019,DW01129->DW00679,3.50098542,3.506670155,0.341255741,0.143581472,0,0,0,0.14110897074795883|0.1119395043596646|0.9747285423359533,0.14018062402392467|0.11172140995229535|0.975241024195414,1000.0|1000.0|1000.0,0.04188530087335773|0.022870651065807244|0.00568965479035383,FALSE,,DW01129->DW00679,0
8417,dist_bray|correl_spearman|dist_kullbackleibler,,copresence,DW01177->DW01202,3,0.145896887540366|0.9579685563128212|0.19312509087462224,dist_bray=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence,dist_bray=2.3736845945809826E-5|correl_spearman=0.0|dist_kullbackleibler=0.0,dist_bray=0.145896887540366|correl_spearman=0.9579685563128212|dist_kullbackleibler=0.19312509087462224,DW01177->DW01202,0.639693349,0.640751555,0.029926446,0.145896888,0,0,0,0.1459367635542065|0.9558465360396916|0.193167823037624,0.14623954711874654|0.9570625638318818|0.18671251071716854,1000.0|1000.0|1000.0,0.014734042985735881|0.011783642108197285|0.0524939323393727,FALSE,,DW01177->DW01202,0
8418,dist_kullbackleibler|dist_bray|correl_pearson,,copresence,DW01232->DW01138,3,0.16221264530668675|0.1186398141316668|0.9247030448828452,dist_kullbackleibler=copresence|dist_bray=copresence|correl_pearson=copresence,dist_kullbackleibler=0.0|dist_bray=2.791229001708473E-6|correl_pearson=1.030098228937959E-11,dist_kullbackleibler=0.16221264530668675|dist_bray=0.1186398141316668|correl_pearson=0.9247030448828452,DW01232->DW01138,3.927975002,3.93437151,0.342264722,0.162212645,0,0,0,0.16299926565919337|0.11931644305090844|0.9273652566706528,0.16079610967928581|0.11880808159891937|0.9284647752213738,1000.0|1000.0|1000.0,0.03143020676511407|0.011930840939393431|0.0193075289765104,FALSE,,DW01232->DW01138,0
